湖北地方台,#genre#
张店综合,https://jsylivealone302.iqilu.com/zhangdian/zhangdian_tv01/index.m3u8
内蒙古地方台,#genre#
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8
兴安盟,http://play1-qk.nmtv.cn/live/1735546886977046.m3u8
内蒙古新闻综合,http://play1-qk.nmtv.cn/live/2316general.m3u8
包头新闻综合,http://play1-qk.nmtv.cn/live/1735546150395017.flv
锡林郭勒,http://play1-qk.nmtv.cn/live/1735546994821050.m3u8
北京地方台,#genre#
北京卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
台湾地方台,#genre#
GOODTV,https://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
东森洋片台,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34904
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华日韩,https://cdn.qd.je/163189/lhrh
吉林地方台,#genre#
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8?zjild
吉林市新闻综合,https://stream2.jlntv.cn/jilin1/sd/live.m3u8
吉林白城新闻,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8
吉林都市,http://192.151.150.154/live/jlds.m3u8
四平新闻综合,https://stream2.jlntv.cn/sptv/sd/live.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8?zjild
白城新闻综合,https://stream2.jlntv.cn/baicheng1/sd/live.m3u8
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
辽源新闻综合,http://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8
四川地方台,#genre#
乐山大佛全景,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
广元青川综合,http://qcfile.qcrmt.com:80/nmip-media/channellive/channel100933/playlist.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD.m3u8
达州宣汉综合,http://livexuanhan.chinamcache.com:80/live/push1.m3u8
都江堰鱼嘴,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
天津地方台,#genre#
天津影视,http://192.151.150.154/live/tjtv3.m3u8
天津文艺,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjtv2
天津新闻,http://38.75.136.137:98/gslb/dsdqpub/tjtv1.m3u8?auth=testpub
宁夏地方台,#genre#
通海电视台,https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8
安徽地方台,#genre#
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
安徽导视,http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8
安徽黄山始信新道,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
祁门综合,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd
黄山,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
黄山卧云峰,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8
山东地方台,#genre#
东营广饶科教文艺,http://1.94.31.214/php/qilu.php?id=dygrkj
临沂综合,https://m3u8-channel.lytv.tv/nmip-media/channellive/channel111841/playlist.m3u8
山东教育,http://2280.eu.org:1234/609154353
山东茌平生活,http://jsylivealone302.iqilu.com/live/chiping_tv02.m3u8
德州武城综艺影视,http://1.94.31.214/php/qilu.php?id=dzwczy
日照莒县2套,http://1.94.31.214/php/qilu.php?id=rzjx2
日照莒县综合,http://1.94.31.214/php/qilu.php?id=rzjx1
枣庄台儿庄新闻综合,http://1.94.31.214/php/qilu.php?id=zztezxw
枣庄市中综合,http://1.94.31.214/php/qilu.php?id=zzszzh
济南商河综合,http://1.94.31.214/php/qilu.php?id=jnshzh
济南平阴综合,http://1.94.31.214/php/qilu.php?id=jnpyzh
济宁任城影视娱乐,http://1.94.31.214/php/qilu.php?id=jircys
济宁台生活,http://1.94.31.214/php/qilu.php?id=jiytsh
济宁城文化生活,http://1.94.31.214/php/qilu.php?id=jizcwh
济宁金乡综合,http://1.94.31.214/php/qilu.php?id=jijxzh
淄博周村生活,http://1.94.31.214/php/qilu.php?id=zbzctv2
淄博沂源综合,http://1.94.31.214/php/qilu.php?id=zbyyzh
滨州无棣综合,http://1.94.31.214/php/qilu.php?id=bzwdzh
滨州滨城TV,http://1.94.31.214/php/qilu.php?id=bzbctv
潍坊安丘民生,http://1.94.31.214/php/qilu.php?id=wfaqms
潍坊昌邑经济生活,http://1.94.31.214/php/qilu.php?id=wfcyjj
潍坊高新区,http://1.94.31.214/php/qilu.php?id=wfgxq
菏泽成武综合,http://1.94.31.214/php/qilu.php?id=hzcwzh
菏泽经济生活,http://live.hznet.tv:1935/live/live2/500k/tzwj_video.m3u8
菏泽郓城综艺,http://1.94.31.214/php/qilu.php?id=hzyczy
菏泽鄄城综合,http://1.94.31.214/php/qilu.php?id=hzjczh
青岛,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
青岛黄岛生活,http://1.94.31.214/php/qilu.php?id=qdhdsh
青岛黄岛综合,http://1.94.31.214/php/qilu.php?id=qdhdzh
山西地方台,#genre#
太原经济生活,http://1.94.31.214/php/taiyuan.php?id=tyjjsh
广东地方台,#genre#
东莞新闻综合,http://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,http://stream.sun0769.com/dgrtv1/mp4tv2_1500.flv
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广西地方台,#genre#
南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.flv
南宁新闻,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
广西影视,http://107.150.60.122/live/gxys.m3u8
广西新闻,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxxw
新疆地方台,#genre#
乌镇龙形田,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8
兵团五师双河新闻综合,https://liveout.btzx.com.cn/62ds9e/4nxdih.m3u8?zxinjd
新疆5套维语影视,http://120.70.60.179:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
新疆6套汉语影视,http://107.150.60.122/live/xjtv6.m3u8
江苏地方台,#genre#
句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
江西地方台,#genre#
江西新闻,http://192.151.150.154/live/jxtv7.m3u8
河北地方台,#genre#
平泉综合,https://jwcdnqx.hebyun.com.cn/live/pqzh/1500k/tzwj_video.m3u8
河北三佳购物,http://tv.pull.hebtv.com/jishi/sanjiagouwu.m3u8?t=1893427200&k=6bd4aeba4f185e4918a1408e970f4064
邢台综合,http://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
邯郸公共频道,https://jwcdnqx.hebyun.com.cn/live/hdgg/1500k/tzwj_video.m3u8
河南地方台,#genre#
河南中华功夫,http://zh.sqitv.com:888/hls/38/index.m3u8
驻马店综合,https://p2hs.vzan.com/slowlive/856224149274600377/live.m3u8
浙江地方台,#genre#
浙江之江纪录,http://ali-xwl.cztv.com/live/channel121080Plxw.m3u8
浙江国际频道,https://ali-xwl.cztv.com/live/channel10720Pnew.m3u8
浙江少儿,http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江教科影视,https://ali-xwl.cztv.com/live/channel041080Pnew.m3u8
浙江经济生活,https://ali-xwl.cztv.com/live/channel031080Pnew.m3u8
浙江舟山,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
海宁新闻综合,https://p2hs.vzan.com/slowlive/317913155078575177/live.m3u8
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
海南地方台,#genre#
海南少儿,http://vapi.91kds.cc/live1/hitv.m3u8?id=hiqs&apiKey=2079b631b519ec17da0bc09844eb8419
海南文旅,http://nn.7x9d.cn/地方台8563/海南.php?id=wlpd
湖南地方台,#genre#
怪兽电影,https://live.metshop.top/huya/21059577
湖南娱乐,http://107.150.60.122/live/hnyl.m3u8
湖南张家界将军列队,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8
电影功夫片,http://live.metshop.top/huya/11352941?cdn=alicdn
电影嫣然影厅,http://live.metshop.top/huya/11601977?cdn=alicdn
电影战争片,http://live.metshop.top/huya/21059574?cdn=alicdn
罪犯电影,https://live.metshop.top/huya/11352962
贺岁电影,https://live.metshop.top/huya/11601986
甘肃地方台,#genre#
张掖新闻综合,https://play.kankanlive.com/live/1720583434627241.m3u8
甘南综合,https://play.kankanlive.com/live/1711955176432990.m3u8
贵州地方台,#genre#
天元围棋,http://38.75.136.137:98/gslb/dsdqpub/gztywq.m3u8?auth=testpub
辽宁地方台,#genre#
辽宁北方,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf
重庆地方台,#genre#
重庆汽摩,http://38.75.136.137:98/gslb/dsdqpub/cqqm.m3u8?auth=testpub
重庆社会与法,http://38.75.136.137:98/gslb/dsdqpub/cqds.m3u8?auth=testpub
陕西地方台,#genre#
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
香港地方台,#genre#
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
NOW新闻,https://cdn.qd.je/163189/now
TVB DRAMA,https://cdn.qd.je/163189.php?id=tvbd
TVBPearl,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVBPlus,http://r.jdshipin.com/Nr5jq
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVB娱乐新闻台,https://cdn.qd.je/163189.php?id=ylxw
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
